id,circ_mv,up_limit
600529.SH,1389844.657,25.7
600531.SH,699935.771,7.06
600533.SH,366450.0,3.84
600535.SH,2227054.6931,16.34
600538.SH,216316.3119,4.66
600539.SH,142370.0,6.81
600540.SH,257549.9933,4.87
600545.SH,460585.3578,2.67
600548.SH,1387405.6756,10.65
600550.SH,933654.9394,5.58
600551.SH,662556.8339,15.05
600552.SH,877702.7194,12.64
600556.SH,1372080.4603,8.35
600557.SH,1626106.0736,31.03
600558.SH,332113.7875,4.07
600560.SH,287384.4675,14.14
600561.SH,129436.944,6.01
600562.SH,1049252.6332,17.47
600565.SH,436013.5997,1.93
600567.SH,1121735.3313,2.67
600569.SH,620443.0194,2.38
600571.SH,428706.1639,10.58
600572.SH,1771237.167,7.6
600573.SH,297000.0,13.07
600575.SH,975451.5273,2.76
600576.SH,566753.2042,10.07
600577.SH,846223.5129,4.66
600578.SH,2275886.3506,3.74
600579.SH,318582.1178,7.04
600580.SH,1615739.5406,13.59
600581.SH,778712.118,5.59
600582.SH,2292778.2462,6.09
600586.SH,1128728.3,8.69
600587.SH,1211610.404,33.03
600590.SH,554225.1766,7.23
600592.SH,331229.9104,9.12
600593.SH,174652.8,14.92
600594.SH,459317.892,6.38
600595.SH,1227726.2597,3.44
600596.SH,1284524.6419,13.73
600597.SH,1432479.1518,12.13
600598.SH,2446087.5548,15.14
600602.SH,1087194.6259,11.13
600603.SH,915529.3123,8.18
600604.SH,723431.7693,5.65
600605.SH,320769.1771,17.11
600609.SH,480773.5381,4.84
600610.SH,647438.3497,15.87
600612.SH,2119560.7669,73.52
600613.SH,358531.3435,8.23
600615.SH,162107.5749,9.5
600616.SH,487035.6036,8.01
600617.SH,409464.0245,4.62
600618.SH,712347.9772,10.45
600619.SH,470348.1796,6.56
600621.SH,1211546.9915,12.56
600622.SH,463402.7892,3.4
600623.SH,1245809.6344,7.36
600624.SH,408088.358,6.56
600626.SH,294892.7953,3.81
600628.SH,490978.4165,8.35
600630.SH,226451.2312,5.86
600633.SH,1863155.3299,16.19
600635.SH,822389.1695,3.74
600638.SH,369021.4387,6.03
600639.SH,1136766.4719,14.71
600641.SH,1801699.5251,21.3
600643.SH,909936.1052,6.18
600644.SH,378495.6633,7.73
600648.SH,1123619.532,13.22
600649.SH,1052303.4637,4.58
600650.SH,387826.1545,10.92
600651.SH,557471.6089,4.94
600653.SH,354241.2177,2.0
600657.SH,1383161.1186,5.34
600658.SH,654372.2513,6.44
600661.SH,291993.2578,11.21
600662.SH,704699.3058,7.36
600664.SH,873582.867,3.82
600665.SH,335279.5381,4.27
600667.SH,1362705.0452,7.12
600668.SH,423223.1084,13.53
600673.SH,2280918.1528,8.37
600675.SH,1706917.8706,3.08
600676.SH,425796.0788,4.55
600678.SH,191246.52,6.03
600679.SH,265298.8164,9.75
600681.SH,618332.0024,4.99
600682.SH,948359.0639,8.95
600683.SH,360758.6897,5.36
600684.SH,299564.7138,3.86
600685.SH,2200624.8499,29.47
600688.SH,2447823.709,3.67
600689.SH,130895.563,9.46
600691.SH,774441.0204,3.59
600692.SH,148671.1314,6.41
600693.SH,348414.7415,4.41
600694.SH,590374.4925,22.11
600696.SH,863265.6014,28.39
600697.SH,203409.5357,14.42
600698.SH,391839.2115,5.19
600699.SH,2115058.8287,16.9
600706.SH,410004.7186,17.75
600707.SH,1614451.3794,4.95
600708.SH,516264.4429,2.55
600710.SH,1081988.5314,9.11
600711.SH,1666868.8675,5.87
600712.SH,212766.1065,4.35
600713.SH,620800.3014,6.56
600714.SH,248984.2999,9.5
600715.SH,482261.91,2.86
600716.SH,354766.9636,4.17
600717.SH,1420954.5097,5.4
600718.SH,1383055.2847,12.64
600719.SH,186520.4156,5.07
600720.SH,968651.0334,13.73
600721.SH,236495.6548,6.89
600722.SH,330635.3625,5.35
600724.SH,572197.2949,4.36
600725.SH,368508.53,3.29
600727.SH,264650.0583,6.62
600728.SH,1268249.0144,8.03
600729.SH,1222666.643,33.47
600733.SH,2093050.7599,5.89
600735.SH,256820.1474,6.71
600736.SH,582554.2109,5.57
600737.SH,1852242.5654,9.53
600738.SH,419127.074,6.06
600739.SH,2065108.2516,14.85
600740.SH,1396356.0289,6.0
600742.SH,561233.7987,9.03
600743.SH,403529.3503,1.89
600744.SH,339330.1048,4.51
600746.SH,826752.384,7.8
600748.SH,763649.0373,4.55
600749.SH,268273.2411,13.0
600750.SH,1549894.3956,27.34
600751.SH,669029.1535,2.86
600753.SH,215900.16,11.04
600755.SH,1849383.1778,10.02
600756.SH,513048.326,17.41
600758.SH,583768.5801,4.86
600761.SH,1267929.7138,18.84
600764.SH,1920120.601,29.72
600768.SH,132677.2224,10.91
600769.SH,305231.4408,8.95
600770.SH,739700.0,6.26
600771.SH,1964817.44,44.15
600773.SH,1137689.1127,15.27
600774.SH,365604.2424,13.64
600775.SH,609357.5458,9.98
600776.SH,990416.0663,11.4
600778.SH,218472.8472,7.72
600780.SH,1011215.2253,9.7
600782.SH,1300998.86,4.49
600783.SH,994464.0168,14.7
600784.SH,381247.3347,7.38
600785.SH,392824.0585,19.15
600787.SH,1358469.8183,6.89
600789.SH,596434.097,7.38
600791.SH,197208.7715,4.8
600792.SH,331624.406,3.69
600793.SH,214407.6504,13.33
600794.SH,453344.9067,4.11
600796.SH,162154.3535,5.92
600797.SH,810718.8835,8.68
600798.SH,451243.7912,4.11
600800.SH,291521.8115,4.04
600801.SH,1984258.9487,16.03
600802.SH,248370.6328,5.96
600805.SH,362217.3068,4.69
600807.SH,250271.8716,3.5
600808.SH,1694841.3368,3.12
600810.SH,532667.2677,8.21
600812.SH,952389.9617,6.42
600814.SH,665689.9117,10.24
600817.SH,203454.9533,11.61
600818.SH,556583.5515,25.73
600819.SH,383424.4424,5.64
600820.SH,2078247.5181,7.27
600821.SH,1098875.5389,6.94
600822.SH,351383.1944,9.76
600824.SH,380503.7734,3.97
600825.SH,562149.6633,5.92
600826.SH,460483.1401,12.13
600827.SH,2226976.489,15.27
600828.SH,678693.191,4.31
600829.SH,408241.5723,7.74
600830.SH,302578.9495,7.33
600831.SH,482436.0639,7.47
600834.SH,412935.3478,9.52
600835.SH,1141203.5845,15.57
600836.SH,353909.3143,5.85
600838.SH,267388.2813,7.34
600841.SH,317325.7004,6.93
600843.SH,244934.2651,5.74
600844.SH,237769.1532,3.18
600847.SH,177813.384,12.76
600850.SH,1298484.4766,25.74
600851.SH,456949.5821,6.81
600853.SH,537622.3271,5.89
600854.SH,259729.269,5.5
600855.SH,543987.1056,13.63
600857.SH,226338.7983,11.1
600858.SH,304318.2411,6.47
600859.SH,2411100.3048,24.26
600860.SH,380705.6671,12.58
600861.SH,839533.1149,29.15
600864.SH,1129749.7924,5.97
600865.SH,354418.3777,10.36
