id,circ_mv,up_limit
002167.SZ,486074.4357,7.68
002168.SZ,375514.7606,5.28
002169.SZ,593442.9707,8.55
002170.SZ,463889.4186,7.21
002171.SZ,956598.5097,8.1
002172.SZ,273202.0969,3.93
002173.SZ,254820.44,7.47
002175.SZ,351111.9499,3.03
002178.SZ,295282.6119,4.57
002181.SZ,696559.9578,6.75
002183.SZ,1412393.4854,5.98
002184.SZ,332128.8385,15.21
002186.SZ,368740.2849,13.17
002187.SZ,360943.4543,7.68
002188.SZ,146216.137,6.68
002189.SZ,413456.77,17.41
002190.SZ,816826.714,25.05
002191.SZ,1039479.6344,8.0
002193.SZ,180564.0534,7.61
002194.SZ,476040.1899,10.31
002195.SZ,1725187.3841,3.36
002196.SZ,321991.4653,7.43
002197.SZ,555149.7129,11.43
002199.SZ,161889.1714,7.32
002201.SZ,652202.6928,11.03
002204.SZ,1019763.3769,5.81
002205.SZ,190860.9952,11.3
002206.SZ,496469.5399,5.96
002207.SZ,171204.887,7.23
002208.SZ,423134.8824,7.48
002209.SZ,139998.8183,9.97
002212.SZ,1242505.3201,11.7
002213.SZ,252762.0,13.5
002214.SZ,630776.6876,14.52
002216.SZ,1019754.5785,17.8
002217.SZ,918339.2347,3.25
002218.SZ,672528.3543,5.31
002219.SZ,1459287.504,4.95
002221.SZ,1317894.9644,9.93
002222.SZ,1069088.2796,27.63
002224.SZ,223188.7887,5.06
002225.SZ,321117.3449,4.28
002228.SZ,404938.8219,3.61
002231.SZ,195169.5273,7.28
002232.SZ,612414.134,16.49
002233.SZ,963853.7569,8.9
002234.SZ,558302.7158,20.24
002235.SZ,373897.6006,7.5
002237.SZ,1093387.3603,13.21
002238.SZ,657295.952,9.01
002242.SZ,1204455.0661,17.3
002243.SZ,1055606.8542,9.59
002245.SZ,1188708.2527,12.08
002246.SZ,504562.9757,10.11
002247.SZ,153162.6799,2.62
002248.SZ,250608.914,8.97
002249.SZ,945651.2468,5.89
002250.SZ,1049649.4806,12.56
002251.SZ,435407.5913,5.54
002253.SZ,320587.8847,16.96
002254.SZ,888840.7898,22.91
002255.SZ,338317.7286,5.73
002256.SZ,335047.1453,2.64
002258.SZ,1134793.2272,15.65
002262.SZ,2365702.182,29.51
002263.SZ,494004.7613,2.89
002264.SZ,400525.0614,6.74
002265.SZ,433568.5601,14.97
002266.SZ,1301031.9338,4.48
002267.SZ,877427.5261,8.68
002269.SZ,434662.5,1.9
002270.SZ,771372.3643,11.18
002272.SZ,194523.1368,6.42
002273.SZ,1521791.3566,12.35
002274.SZ,741019.3127,8.69
002275.SZ,1094234.8,21.81
002277.SZ,479595.4432,3.78
002278.SZ,176462.7311,5.72
002279.SZ,555585.2377,7.76
002280.SZ,693151.367,4.04
002281.SZ,1579382.8471,25.76
002282.SZ,299128.5198,8.31
002283.SZ,565661.6109,6.27
002284.SZ,566326.9526,8.54
002285.SZ,564196.3368,3.08
002286.SZ,309125.4461,9.2
002287.SZ,1229753.8693,25.59
002288.SZ,355716.8999,4.88
002290.SZ,229039.7786,10.29
002293.SZ,1074475.1966,14.3
002295.SZ,164943.746,7.25
002296.SZ,283476.0655,9.03
002298.SZ,385943.872,6.94
002300.SZ,613936.4761,10.29
002301.SZ,516234.9703,7.91
002302.SZ,1086887.0557,9.47
002303.SZ,325623.9302,3.76
002305.SZ,390169.6596,2.48
002306.SZ,317183.1534,4.29
002307.SZ,700441.7203,7.06
002308.SZ,439290.6012,5.39
002310.SZ,505440.1576,2.13
002312.SZ,1233103.6772,10.07
002314.SZ,464330.8633,3.82
002316.SZ,135138.2175,4.72
002317.SZ,1192642.4725,18.59
002318.SZ,1461250.0232,16.85
002319.SZ,316000.0,17.38
002320.SZ,1457722.3043,7.19
002322.SZ,343723.2934,10.51
002323.SZ,638259.0144,3.31
002324.SZ,930760.7108,15.27
002325.SZ,255268.9531,1.96
002326.SZ,1068719.0479,18.16
002327.SZ,434901.8167,9.88
002329.SZ,339652.7152,6.35
002330.SZ,379201.6929,6.57
002331.SZ,297823.4176,8.42
002333.SZ,248388.0161,6.39
002335.SZ,1609000.7873,44.55
002336.SZ,425046.325,12.53
002337.SZ,299290.2348,5.6
002338.SZ,756701.082,34.68
002339.SZ,351391.4489,8.09
002341.SZ,335884.5837,3.86
002342.SZ,373909.6875,4.68
002343.SZ,398007.8369,9.22
002344.SZ,666361.8478,5.72
002345.SZ,625596.8222,7.93
002346.SZ,488702.8336,13.62
002347.SZ,166001.6922,5.46
002348.SZ,404484.2479,5.01
002349.SZ,837242.8269,11.35
002350.SZ,381565.3128,7.93
002353.SZ,1690134.1954,26.95
002355.SZ,250357.4933,4.46
002356.SZ,626369.854,5.26
002357.SZ,199058.3941,6.99
002358.SZ,404051.6992,4.79
002360.SZ,221605.161,7.59
002361.SZ,315784.9096,4.37
002363.SZ,287109.2077,7.59
002364.SZ,413486.1959,8.67
002365.SZ,237675.1371,10.7
002367.SZ,443548.3991,9.02
002369.SZ,267694.2904,5.2
002370.SZ,229702.0185,4.71
002373.SZ,1850111.8088,14.82
002374.SZ,471332.7435,4.86
002375.SZ,669489.7345,5.53
002376.SZ,470291.2491,8.18
002377.SZ,229915.0603,2.76
002378.SZ,688659.5318,8.25
002379.SZ,377970.1212,4.49
002380.SZ,254566.3976,19.79
002381.SZ,236028.1448,8.06
002382.SZ,764153.1333,8.39
002383.SZ,411372.7842,7.38
002385.SZ,2289818.9075,7.65
002387.SZ,946252.781,7.59
002388.SZ,343246.5702,7.9
002389.SZ,1906343.9356,22.63
002390.SZ,858384.4895,5.16
002391.SZ,335362.3655,7.94
002392.SZ,324335.0264,4.04
002393.SZ,437891.9808,26.4
002394.SZ,262364.269,8.94
002395.SZ,233341.83,9.57
002396.SZ,1197474.4107,22.58
002397.SZ,222041.167,4.25
002398.SZ,364731.8107,6.9
002399.SZ,1505372.4567,13.28
002402.SZ,1240803.3899,17.02
002403.SZ,244749.1632,8.8
002404.SZ,290380.8472,6.92
002406.SZ,260510.0474,5.78
002407.SZ,1878590.0375,21.58
002408.SZ,1893277.3931,7.54
002409.SZ,2106385.9662,72.74
002412.SZ,334192.5875,7.45
002413.SZ,606515.5681,5.34
002416.SZ,1059790.5174,9.53
002418.SZ,331702.437,3.21
002419.SZ,750197.8483,7.06
002420.SZ,234888.5417,6.64
002421.SZ,665749.356,4.11
002423.SZ,2050653.9618,9.79
002424.SZ,974947.832,8.93
002428.SZ,715833.2351,12.22
002429.SZ,1978748.2751,4.85
002431.SZ,412701.5228,3.11
002434.SZ,1127753.303,9.46
002435.SZ,577225.4146,5.28
002436.SZ,2029930.7221,14.88
002438.SZ,529418.4328,12.42
002439.SZ,2245678.8616,34.1
002440.SZ,679792.2838,7.77
002442.SZ,236855.6627,5.4
002443.SZ,352498.8052,7.47
002444.SZ,2058052.6781,19.64
002448.SZ,288527.5321,6.69
002449.SZ,521186.7455,9.36
002451.SZ,270954.933,6.79
002452.SZ,338358.9939,7.27
002453.SZ,727501.4437,13.09
002454.SZ,479052.5074,8.42
002455.SZ,391251.5564,8.65
002456.SZ,1606601.9457,5.46
002457.SZ,292638.666,9.61
002458.SZ,937560.7852,15.25
002461.SZ,2025195.5592,10.07
002462.SZ,455573.0353,17.22
002465.SZ,2185647.0816,10.51
002468.SZ,1568139.9855,11.56
002469.SZ,403371.0724,7.17
002474.SZ,394086.5696,8.6
002476.SZ,287616.9465,5.17
002478.SZ,443175.3305,7.39
002479.SZ,412565.7421,5.27
002480.SZ,305686.5622,5.21
002481.SZ,561862.6916,5.62
002483.SZ,501937.203,6.24
002484.SZ,1521134.4883,21.12
002486.SZ,258752.0,3.42
002488.SZ,595916.2313,7.19
002489.SZ,724362.8223,4.24
002490.SZ,222604.7411,4.52
002491.SZ,685864.299,6.41
002492.SZ,238879.0452,6.6
002494.SZ,131340.8606,5.04
002495.SZ,179911.5956,2.77
002496.SZ,258948.4467,2.5
002498.SZ,1367313.156,4.52
002500.SZ,2146683.3851,6.58
002501.SZ,566579.041,1.76
002506.SZ,1778249.099,3.34
002507.SZ,2181015.3375,27.34
002508.SZ,2323687.5369,27.28
002510.SZ,340873.8072,4.03
002511.SZ,1562249.049,13.24
002512.SZ,400509.6412,4.2
002513.SZ,146557.5681,5.13
002514.SZ,489766.2894,9.72
